Symbol,Nazwa,Kurs,Zmiana%,Zmiana,Wolumen,Data
SMCI.US,SUPER MICRO COMPUTER,255.8,-3.85%,-10.23,2990000.0,13 lis
CG.US,CARLYLE GROUP,30.01,-0.50%,-0.15,2990000.0,13 lis
CYTO.US,ALTAMIRA THERAPEUTICS,0.1,-6.10%,-0.0065,2990000.0,13 lis
AMLX.US,AMYLYX PHARMACEUTICALS,12.94,+3.69%,0.46,2980000.0,13 lis
NCNC.US,NOCO-NOCO,0.229,-23.41%,-0.07,2970000.0,13 lis
XEL.US,XCEL ENERGY,58.27,-1.57%,-0.93,2960000.0,13 lis
VTYX.US,VENTYX BIOSCIENCES,2.38,-0.63%,-0.015,2930000.0,13 lis
ENPH.US,ENPHASE ENERGY,78.55,+0.73%,0.57,2920000.0,13 lis
CENN.US,CENNTRO ELECTRIC GROUP,0.2011,+12.47%,0.0223,2920000.0,13 lis
NFLX.US,NETFLIX,444.62,-0.59%,-2.62,2900000.0,13 lis
UPWK.US,UPWORK,13.71,-0.65%,-0.09,2890000.0,13 lis
ROVR.US,ROVER GROUP,7.83,-3.21%,-0.26,2870000.0,13 lis
GPRO.US,GOPRO,3.22,+5.57%,0.17,2870000.0,13 lis
CRSP.US,CRISPR THERAPEUTICS,52.01,-2.16%,-1.15,2860000.0,13 lis
AAOI.US,APPLIED OPTOELECTRONICS,11.0,+17.46%,1.635,2840000.0,13 lis
TTWO.US,TAKE-TWO INTERACTIVE SOFTWARE,150.09,+1.49%,2.21,2830000.0,13 lis
EVRG.US,EVERGY,48.05,-2.75%,-1.36,2830000.0,13 lis
SABR.US,SABRE,3.35,-0.30%,-0.01,2820000.0,13 lis
PRCH.US,PORCH GROUP,1.26,+21.15%,0.22,2800000.0,13 lis
SELB.US,SELECTA BIOSCIENCES,0.8812,-8.00%,-0.0766,2770000.0,13 lis
IMGN.US,IMMUNOGEN,14.74,-0.14%,-0.02,2750000.0,13 lis
HYMC.US,HYCROFT MINING HOLDING,0.185,+1.93%,0.0035,2720000.0,13 lis
PODD.US,INSULET,163.71,+5.55%,8.61,2710000.0,13 lis
EBIX.US,EBIX,3.385,-4.78%,-0.17,2700000.0,13 lis
SPWR.US,SUNPOWER,3.81,+0.53%,0.02,2690000.0,13 lis
INDI.US,INDIE SEMICONDUCTOR,5.78,+2.48%,0.14,2650000.0,13 lis
INFN.US,INFINERA,3.96,-0.75%,-0.03,2650000.0,13 lis
CRON.US,CRONOS GROUP,2.01,-2.43%,-0.05,2640000.0,13 lis
RDFN.US,REDFIN,5.25,-1.50%,-0.08,2640000.0,13 lis
NVOS.US,NOVO INTEGRATED SCIENCES,1.65,+1.85%,0.03,2640000.0,13 lis
EXTR.US,EXTREME NETWORKS,16.26,-1.99%,-0.33,2620000.0,13 lis
FSLR.US,FIRST SOLAR,133.84,-0.06%,-0.08,2610000.0,13 lis
QRTEA.US,QURATE RETAIL,0.6326,-1.11%,-0.0071,2550000.0,13 lis
BIDU.US,BAIDU,107.21,+1.20%,1.27,2550000.0,13 lis
CCCS.US,CCC INTELLIGENT SOLUTIONS HOLDINGS,11.28,-1.57%,-0.18,2540000.0,13 lis
STX.US,SEAGATE TECHNOLOGY HOLDINGS,72.47,+0.07%,0.05,2540000.0,13 lis
CIFR.US,CIPHER MINING,2.88,-3.36%,-0.1,2520000.0,13 lis
ADBE.US,ADOBE,590.34,-1.15%,-6.88,2510000.0,13 lis
BLDP.US,BALLARD POWER SYSTEMS,3.27,-1.51%,-0.05,2470000.0,13 lis
MLCO.US,MELCO RESORTS & ENTERTAINMENT,6.89,-3.64%,-0.26,2470000.0,13 lis
EVLV.US,EVOLV TECHNOLOGIES HOLDINGS,3.45,-4.17%,-0.15,2460000.0,13 lis
SHOT.US,Safety Shot,2.03,+19.06%,0.325,2460000.0,13 lis
CZR.US,CAESARS ENTERTAINMENT,42.05,-2.89%,-1.25,2450000.0,13 lis
DOCU.US,DOCUSIGN,41.12,+0.34%,0.14,2450000.0,13 lis
FOXA.US,FOX,29.59,-1.79%,-0.54,2440000.0,13 lis
ATEC.US,ALPHATEC HOLDINGS,9.94,-2.55%,-0.26,2430000.0,13 lis
MAT.US,MATTEL,18.24,-1.35%,-0.25,2430000.0,13 lis
VLY.US,VALLEY NATIONAL BANCORP,7.83,-0.89%,-0.07,2430000.0,13 lis
URBN.US,URBAN OUTFITTERS,34.25,-3.25%,-1.15,2420000.0,13 lis
KSCP.US,KNIGHTSCOPE,0.699,+4.61%,0.0308,2420000.0,13 lis
TRIP.US,TRIPADVISOR,17.12,-1.44%,-0.25,2420000.0,13 lis
GRPN.US,GROUPON,9.65,+9.35%,0.825,2410000.0,13 lis
LESL.US,LESLIE'S,4.65,+0.43%,0.02,2410000.0,13 lis
Z.US,ZILLOW GROUP,35.71,-2.70%,-0.99,2400000.0,13 lis
VFS.US,VINFAST AUTO PTE,5.9,-2.80%,-0.17,2390000.0,13 lis
ISUN.US,ISUN,0.1807,+17.19%,0.0265,2380000.0,13 lis
MRVI.US,MARAVAI LIFESCIENCES HOLDINGS,4.95,-3.51%,-0.18,2370000.0,13 lis
GOSS.US,GOSSAMER BIO,0.6297,+20.22%,0.1059,2360000.0,13 lis
TNON.US,TENON MEDICAL,3.05,+26.56%,0.64,2360000.0,13 lis
SBRA.US,SABRA HEALTH CARE REIT,14.18,+0.28%,0.04,2340000.0,13 lis
ABCM.US,ABCAM,23.07,-0.22%,-0.05,2310000.0,13 lis
BYND.US,BEYOND MEAT,6.39,-7.53%,-0.52,2310000.0,13 lis
ETSY.US,ETSY,63.21,-0.05%,-0.03,2300000.0,13 lis
TCOM.US,TRIP.COM GROUP,35.21,+3.83%,1.3,2300000.0,13 lis
SNY.US,SANOFI,45.52,-0.87%,-0.4,2290000.0,13 lis
GAN.US,GAN,1.61,-3.01%,-0.05,2290000.0,13 lis
ARCC.US,ARES CAPITAL,19.6,-0.05%,-0.01,2270000.0,13 lis
IOVA.US,IOVANCE BIOTHERAPEUTICS,4.03,+1.51%,0.06,2270000.0,13 lis
VTNR.US,VERTEX ENERGY,3.77,-5.75%,-0.23,2270000.0,13 lis
IRWD.US,IRONWOOD PHARMACEUTICALS,9.39,-3.59%,-0.35,2260000.0,13 lis
ZM.US,ZOOM VIDEO COMMUNICATIONS,61.54,-0.84%,-0.52,2260000.0,13 lis
TVTX.US,TRAVERE THERAPEUTICS,5.7,+2.15%,0.12,2210000.0,13 lis
HOLX.US,HOLOGIC,71.4,-1.01%,-0.73,2190000.0,13 lis
VRRM.US,VERRA MOBILITY,20.51,-0.97%,-0.2,2170000.0,13 lis
SLM.US,SLM,14.88,+0.07%,0.01,2160000.0,13 lis
INVZ.US,INNOVIZ TECHNOLOGIES,1.96,+5.95%,0.11,2160000.0,13 lis
HAS.US,HASBRO,42.88,-0.53%,-0.23,2160000.0,13 lis
SEDG.US,SOLAREDGE TECHNOLOGIES,71.62,+0.67%,0.48,2150000.0,13 lis
NVTS.US,NAVITAS SEMICONDUCTOR,6.01,-3.99%,-0.25,2140000.0,13 lis
FEMY.US,Femasys,1.04,-14.75%,-0.18,2130000.0,13 lis
TMCI.US,TREACE MEDICAL CONCEPTS,6.03,-2.90%,-0.18,2120000.0,13 lis
FUTU.US,FUTU HOLDINGS,60.57,+4.50%,2.61,2100000.0,13 lis
ASTR.US,ASTRA SPACE,1.47,+8.89%,0.12,2100000.0,13 lis
WOOF.US,PETCO HEALTH & WELLNESS,3.53,+0.28%,0.01,2100000.0,13 lis
SGMO.US,SANGAMO THERAPEUTICS,0.3023,+1.75%,0.0052,2100000.0,13 lis
FLYW.US,FLYWIRE,20.62,+3.67%,0.73,2100000.0,13 lis
CDLX.US,CARDLYTICS,7.39,+20.95%,1.28,2100000.0,13 lis
EXAS.US,EXACT SCIENCES,59.27,-0.82%,-0.49,2100000.0,13 lis
VNET.US,VNET GROUP,3.66,-1.08%,-0.04,2089999.9999999998,13 lis
BCRX.US,BIOCRYST PHARMACEUTICALS,5.15,+3.41%,0.17,2089999.9999999998,13 lis
LSCC.US,LATTICE SEMICONDUCTOR,54.86,-3.67%,-2.09,2080000.0,13 lis
BMBL.US,BUMBLE,13.91,-2.39%,-0.34,2060000.0,13 lis
PNT.US,POINT BIOPHARMA GLOBAL,13.37,+1.91%,0.25,2060000.0,13 lis
ALLO.US,ALLOGENE THERAPEUTICS,2.42,-3.20%,-0.08,2060000.0,13 lis
TNDM.US,TANDEM DIABETES CARE,14.98,+4.90%,0.7,2049999.9999999998,13 lis
KURA.US,KURA ONCOLOGY,8.7,+2.11%,0.18,2040000.0,13 lis
FLEX.US,FLEX,26.0,-0.34%,-0.09,2040000.0,13 lis
RKLB.US,ROCKET LAB USA,4.33,-0.92%,-0.04,2029999.9999999998,13 lis
NAAS.US,NAAS TECHNOLOGY,2.2,+2.80%,0.06,2029999.9999999998,13 lis
BCLI.US,Brainstorm Cell Therapeutics,0.185,+8.57%,0.0146,2029999.9999999998,13 lis
LBTYK.US,LIBERTY GLOBAL,16.45,-3.24%,-0.55,2020000.0,13 lis
ARQT.US,ARCUTIS BIOTHERAPEUTICS,2.11,+10.76%,0.205,2020000.0,13 lis
ALT.US,ALTIMMUNE,2.44,-2.40%,-0.06,2020000.0,13 lis
CELH.US,CELSIUS HOLDINGS,162.42,-5.84%,-10.08,2000000.0,13 lis
VIR.US,VIR BIOTECHNOLOGY,9.18,+4.44%,0.39,2000000.0,13 lis
SYTA.US,Siyata Mobile,0.593,+4.84%,0.0274,1990000.0,13 lis
GEHC.US,GE HEALTHCARE TECHNOLOGIES,70.01,+0.70%,0.49,1990000.0,13 lis
SWKS.US,SKYWORKS SOLUTIONS,88.91,-1.24%,-1.12,1990000.0,13 lis
FAST.US,FASTENAL,59.64,-0.62%,-0.37,1990000.0,13 lis
COMM.US,COMMSCOPE HOLDING,1.38,-5.48%,-0.08,1980000.0,13 lis
PAA.US,PLAINS ALL AMERICAN PIPELINE,15.34,+0.59%,0.09,1980000.0,13 lis
HIVE.US,HIVE DIGITAL TECHNOLOGIES,2.85,-8.95%,-0.28,1970000.0,13 lis
JEPQ.US,JPMorgan Nasdaq Equity Premium,48.52,+0.02%,0.01,1950000.0,13 lis
CTSH.US,COGNIZANT TECHNOLOGY SOLUTIONS,65.68,-0.41%,-0.27,1940000.0,13 lis
ROST.US,ROSS STORES,122.36,-0.79%,-0.97,1930000.0,13 lis
PAYO.US,PAYONEER GLOBAL,5.39,-0.92%,-0.05,1930000.0,13 lis
VRM.US,VROOM,0.7338,-0.90%,-0.0067,1920000.0,13 lis
HUBC.US,HUB CYBER SECURITY,0.365,-9.88%,-0.04,1920000.0,13 lis
HRTX.US,HERON THERAPEUTICS,0.5458,-6.76%,-0.0396,1910000.0,13 lis
RPRX.US,ROYALTY PHARMA,27.11,-0.40%,-0.11,1910000.0,13 lis
LNT.US,ALLIANT ENERGY,47.61,-1.98%,-0.96,1910000.0,13 lis
SNDX.US,SYNDAX PHARMACEUTICALS,13.86,+2.29%,0.31,1900000.0,13 lis
MVIS.US,MICROVISION,1.97,-1.01%,-0.02,1900000.0,13 lis
NFE.US,NEW FORTRESS ENERGY,33.91,+2.76%,0.91,1890000.0,13 lis
WSC.US,WILLSCOT MOBILE MINI HOLDINGS,37.0,+0.87%,0.32,1880000.0,13 lis
ORGN.US,ORIGIN MATERIALS,1.06,+20.11%,0.1775,1870000.0,13 lis
CLNE.US,CLEAN ENERGY FUELS,3.28,-2.67%,-0.09,1870000.0,13 lis
CAN.US,CANAAN,1.61,-3.01%,-0.05,1860000.0,13 lis
SLDP.US,SOLID POWER,1.46,+8.15%,0.11,1850000.0,13 lis
NXPI.US,NXP SEMICONDUCTORS,184.84,-0.98%,-1.83,1850000.0,13 lis
PSNY.US,Polestar Automotive Holding UK,2.07,+0.49%,0.01,1850000.0,13 lis
FRSH.US,FRESHWORKS,17.18,-1.55%,-0.27,1840000.0,13 lis
DRS.US,LEONARDO DRS,20.15,+1.77%,0.35,1840000.0,13 lis
FOLD.US,AMICUS THERAPEUTICS,10.27,-1.34%,-0.14,1840000.0,13 lis
EYE.US,NATIONAL VISION HOLDINGS,17.35,-5.86%,-1.08,1840000.0,13 lis
MYNZ.US,MAINZ BIOMED,1.2,-46.43%,-1.04,1840000.0,13 lis
ESPR.US,ESPERION THERAPEUTICS,0.9455,+4.45%,0.0403,1830000.0,13 lis
ARAV.US,ARAVIVE,0.1301,-7.07%,-0.0099,1830000.0,13 lis
ALTO.US,ALTO INGREDIENTS,2.2,+5.26%,0.11,1820000.0,13 lis
ATNF.US,180 LIFE SCIENCES,0.4663,+15.16%,0.0614,1820000.0,13 lis
WHLR.US,WHEELER REAL ESTATE INVESTMENT TRUST,0.2113,-13.26%,-0.0323,1820000.0,13 lis
ALKS.US,ALKERMES,23.98,+0.76%,0.18,1820000.0,13 lis
ULCC.US,FRONTIER GROUP HOLDINGS,3.48,-4.13%,-0.15,1800000.0,13 lis
NTRA.US,Natera,48.54,+3.85%,1.8,1800000.0,13 lis
GMDA.US,GAMIDA CELL,0.5936,-0.42%,-0.0025,1800000.0,13 lis
PHUN.US,PHUNWARE,0.1474,+0.75%,0.0011,1790000.0,13 lis
CBAY.US,CYMABAY THERAPEUTICS,16.87,+3.50%,0.57,1790000.0,13 lis
RVMD.US,REVOLUTION MEDICINES,19.65,-0.30%,-0.06,1790000.0,13 lis
EZGO.US,EZGO TECHNOLOGIES,0.094,+1.08%,0.001,1790000.0,13 lis
OM.US,OUTSET MEDICAL,4.23,+14.95%,0.55,1780000.0,13 lis
WDAY.US,WORKDAY,226.3,-1.61%,-3.71,1780000.0,13 lis
LPSN.US,LIVEPERSON,2.77,+0.36%,0.01,1770000.0,13 lis
ISRG.US,INTUITIVE SURGICAL,282.48,+1.80%,4.99,1770000.0,13 lis
LZ.US,LEGALZOOM.COM,10.89,+0.28%,0.03,1760000.0,13 lis
DVAX.US,DYNAVAX TECHNOLOGIES,13.55,+2.65%,0.35,1750000.0,13 lis
OPK.US,OPKO HEALTH,1.28,+1.59%,0.02,1740000.0,13 lis
EXPE.US,EXPEDIA GROUP,118.48,-0.17%,-0.2,1730000.0,13 lis
WEN.US,WENDY'S,18.65,-1.37%,-0.26,1730000.0,13 lis
WMG.US,WARNER MUSIC GROUP,32.52,-0.40%,-0.13,1710000.0,13 lis
NTRS.US,NORTHERN TRUST,70.98,+0.40%,0.28,1700000.0,13 lis
TER.US,TERADYNE,86.62,-1.70%,-1.5,1700000.0,13 lis
INO.US,INOVIO PHARMACEUTICALS,0.35,+0.34%,0.0012,1700000.0,13 lis
MAXN.US,MAXEON SOLAR TECHNOLOGIES,5.48,+4.58%,0.24,1690000.0,13 lis
MTTR.US,MATTERPORT,2.44,-1.61%,-0.04,1690000.0,13 lis
AVGO.US,BROADCOM,946.93,-1.11%,-10.59,1690000.0,13 lis
ACGL.US,ARCH CAPITAL GROUP,86.57,+0.72%,0.62,1680000.0,13 lis
HON.US,HONEYWELL INT,186.51,-0.11%,-0.2,1680000.0,13 lis
TRMB.US,TRIMBLE,40.82,-2.46%,-1.03,1670000.0,13 lis
EXEL.US,EXELIXIS,20.94,-0.29%,-0.06,1660000.0,13 lis
COST.US,COSTCO WHOLESALE,578.23,+0.19%,1.11,1650000.0,13 lis
JAGX.US,JAGUAR HEALTH,0.31,+6.16%,0.018,1650000.0,13 lis
TSP.US,TUSIMPLE HOLDINGS,0.9421,-5.32%,-0.0529,1650000.0,13 lis
NDAQ.US,NASDAQ,52.09,-0.04%,-0.02,1650000.0,13 lis
MBLY.US,MOBILEYE GLOBAL,38.37,+2.76%,1.03,1640000.0,13 lis
PCAR.US,PACCAR,87.96,-0.34%,-0.3,1640000.0,13 lis
SONO.US,SONOS,10.61,-0.66%,-0.07,1640000.0,13 lis
ZNTL.US,ZENTALIS PHARMACEUTICALS,10.26,+4.27%,0.42,1630000.0,13 lis
SFM.US,SPROUTS FARMERS MARKET,41.81,+2.10%,0.86,1630000.0,13 lis
DCFC.US,TRITIUM DCFC,0.217,-9.43%,-0.0226,1620000.0,13 lis
EXPI.US,EXP WORLD HOLDINGS,11.56,-5.40%,-0.66,1620000.0,13 lis
ALVR.US,ALLOVIR,1.37,-3.52%,-0.05,1610000.0,13 lis
CROX.US,CROCS,77.27,-3.04%,-2.42,1610000.0,13 lis
OKTA.US,OKTA,68.23,+0.68%,0.46,1610000.0,13 lis
OXLC.US,OXFORD LANE CAPITAL,5.09,+0.59%,0.03,1600000.0,13 lis
TSLA.US,TESLA,237.41,+6.12%,13.7,150000000.0,14 lis
BCDA.US,BIOCARDIA,1.07,+168.17%,0.671,136000000.0,14 lis
MCOM.US,MICROMOBILITY.COM,0.0222,-13.95%,-0.0036,102000000.0,14 lis
PLUG.US,PLUG POWER,4.23,+21.90%,0.76,77500000.0,14 lis
BETS.US,BIT BROTHER,0.031,+4.73%,0.0014,75700000.0,14 lis
MULN.US,MULLEN AUTOMOTIVE,0.1818,-2.68%,-0.005,74200000.0,14 lis
TENX.US,TENAX THERAPEUTICS,0.505,-18.55%,-0.115,72000000.0,14 lis
SKIN.US,BEAUTY HEALTH,1.39,-64.36%,-2.51,61600000.0,14 lis
AMD.US,ADVANCED MICRO DEVICES,119.88,+2.65%,3.09,61000000.0,14 lis
AAPL.US,APPLE,187.44,+1.43%,2.64,60100000.0,14 lis
AMZN.US,AMAZON.COM,145.8,+2.25%,3.21,56700000.0,14 lis
INTC.US,INTEL,39.41,+3.09%,1.18,45500000.0,14 lis
RIVN.US,RIVIAN AUTOMOTIVE,16.9,+4.39%,0.71,43200000.0,14 lis
NVDA.US,NVIDIA,496.56,+2.13%,10.36,41700000.0,14 lis
NKLA.US,NIKOLA,1.09,+7.92%,0.08,40400000.0,14 lis
SOFI.US,SOFI TECHNOLOGIES,7.48,+6.25%,0.44,38400000.0,14 lis
MARA.US,MARATHON DIGITAL HOLDINGS,9.17,-0.11%,-0.01,37600000.0,14 lis
TCRT.US,ALAUNOS THERAPEUTICS,0.0743,-10.59%,-0.0088,37200000.0,14 lis
AAL.US,AMERICAN AIRLINES GROUP,12.25,+3.99%,0.47,35500000.0,14 lis
GOEV.US,CANOO,0.27,+6.85%,0.0173,34100000.0,14 lis
SPCB.US,SUPERCOM,0.42,+12.60%,0.047,33500000.0,14 lis
GOOGL.US,ALPHABET,133.62,+1.16%,1.53,32400000.0,14 lis
LCID.US,LUCID GROUP,4.17,+5.04%,0.2,29600000.0,14 lis
AIRE.US,REALPHA TECH,12.0,+103.74%,6.11,28300000.0,14 lis
WBD.US,WARNER BROS DISCOVERY,10.44,+5.56%,0.55,28000000.0,14 lis
NXU.US,NXU,0.0277,-2.46%,-0.0007,27900000.0,14 lis
MSFT.US,MICROSOFT,370.27,+0.98%,3.59,27700000.0,14 lis
OPEN.US,OPENDOOR TECHNOLOGIES,2.29,+12.81%,0.26,27000000.0,14 lis
LQR.US,LQR HOUSE,0.0624,-4.00%,-0.0026,25700000.0,14 lis
RKLB.US,ROCKET LAB USA,4.32,-0.23%,-0.01,24900000.0,14 lis
RUN.US,SUNRUN,10.98,+18.96%,1.75,24600000.0,14 lis
ACRS.US,ACLARIS THERAPEUTICS,0.6801,+5.46%,0.0352,24300000.0,14 lis
DKNG.US,DRAFTKINGS,37.03,+4.08%,1.45,23900000.0,14 lis
THRX.US,Theseus Pharmaceuticals,3.21,+50.00%,1.07,23800000.0,14 lis
INVO.US,INVO BIOSCIENCE,2.16,+34.16%,0.55,23700000.0,14 lis
GRAB.US,GRAB HOLDINGS,3.32,-0.30%,-0.01,23300000.0,14 lis
AFRM.US,AFFIRM HOLDINGS,25.56,+11.71%,2.68,22900000.0,14 lis
LYFT.US,LYFT,10.51,+7.57%,0.74,22800000.0,14 lis
CMCSA.US,COMCAST,41.87,+0.92%,0.38,22500000.0,14 lis
GOOG.US,ALPHABET,135.43,+1.34%,1.79,22300000.0,14 lis
RIOT.US,RIOT PLATFORMS,9.73,-0.61%,-0.06,22100000.0,14 lis
CGC.US,CANOPY GROWTH,0.5316,-2.03%,-0.011,21900000.0,14 lis
TSLL.US,DIREXION DAILY TSLA BULL 1.5X SHARES,13.96,+9.15%,1.17,21300000.0,14 lis
FCEL.US,FUELCELL ENERGY,1.24,+18.10%,0.19,21100000.0,14 lis
AGNC.US,AGNC INVESTMENT,8.67,+2.73%,0.23,19500000.0,14 lis
ATRA.US,ATARA BIOTHERAPEUTICS,0.3478,+35.28%,0.0907,18900000.0,14 lis
JBLU.US,JETBLUE AIRWAYS,4.38,+10.33%,0.41,18800000.0,14 lis
CSCO.US,CISCO SYSTEMS,53.17,+1.80%,0.94,18300000.0,14 lis
JD.US,JD.COM,26.71,+3.73%,0.96,18300000.0,14 lis
PTON.US,PELOTON INTERACTIVE,5.14,+15.77%,0.7,18200000.0,14 lis
AVTX.US,AVALO THERAPEUTICS,0.0989,+8.68%,0.0079,17800000.0,14 lis
HBAN.US,HUNTINGTON BANCSHARES INC/OH,10.82,+5.77%,0.59,17500000.0,14 lis
META.US,Meta Platforms,336.31,+2.16%,7.12,17200000.0,14 lis
HUT.US,HUT 8 MINING,1.83,-9.85%,-0.2,16800000.0,14 lis
PYPL.US,PAYPAL HOLDINGS,56.68,+4.21%,2.29,16800000.0,14 lis
EJH.US,E-Home Household Service Holdi,3.93,+16.62%,0.56,16399999.999999998,14 lis
PXMD.US,PAXMEDICA,2.17,+26.90%,0.46,16200000.0,14 lis
PARA.US,PARAMOUNT GLOBAL,12.52,+4.33%,0.52,16100000.000000002,14 lis
LAZR.US,LUMINAR TECHNOLOGIES,2.94,-2.65%,-0.08,16100000.000000002,14 lis
AGEN.US,AGENUS,0.7309,+16.39%,0.1029,14800000.0,14 lis
CLSK.US,CLEANSPARK,3.85,+1.05%,0.04,14300000.0,14 lis
SOUN.US,SOUNDHOUND AI,2.13,+7.04%,0.14,14100000.0,14 lis
STNE.US,STONECO,12.85,+6.20%,0.75,13800000.0,14 lis
CSX.US,CSX Corp,31.11,+2.17%,0.66,13300000.0,14 lis
MU.US,MICRON TECHNOLOGY,77.17,+3.20%,2.39,13000000.0,14 lis
TLRY.US,TILRAY BRANDS,1.73,+2.98%,0.05,12800000.0,14 lis
MRVL.US,MARVELL TECHNOLOGY,57.03,+6.70%,3.58,12500000.0,14 lis
UPST.US,UPSTART HOLDINGS,25.43,+16.44%,3.59,12100000.0,14 lis
BKR.US,BAKER HUGHES,34.7,+0.67%,0.23,12100000.0,14 lis
PGY.US,Pagaya Technologies Ltd,1.47,+19.51%,0.24,11700000.0,14 lis
CFLT.US,CONFLUENT,19.68,+9.58%,1.72,11500000.0,14 lis
QCOM.US,QUALCOMM,127.36,+2.83%,3.51,11300000.0,14 lis
INPX.US,Inpixon,0.0715,+5.15%,0.0035,11200000.0,14 lis
PTEN.US,PATTERSON-UTI ENERGY,12.17,+0.33%,0.04,11100000.0,14 lis
VOD.US,VODAFONE GROUP,9.12,-4.20%,-0.4,10900000.0,14 lis
DISH.US,DISH NETWORK,3.45,+3.60%,0.12,10900000.0,14 lis
WBA.US,WALGREENS BOOTS ALLIANCE,21.09,+4.56%,0.92,10700000.0,14 lis
HOOD.US,ROBINHOOD MARKETS,8.5,+2.29%,0.19,10700000.0,14 lis
SIRI.US,SIRIUS XM HOLDINGS,4.89,+4.71%,0.22,10700000.0,14 lis
MTCH.US,MATCH GROUP,30.77,+5.67%,1.65,10500000.0,14 lis
TTD.US,TRADE DESK,67.63,+6.57%,4.17,10300000.0,14 lis
COIN.US,COINBASE GLOBAL,92.09,-0.59%,-0.55,10100000.0,14 lis
KDP.US,KEURIG DR PEPPER,31.88,+1.92%,0.6,10000000.0,14 lis
RXRX.US,RECURSION PHARMACEUTICALS,6.46,+10.81%,0.63,9750000.0,14 lis
AUVI.US,APPLIED UV,0.1599,-40.76%,-0.11,9470000.0,14 lis
ENPH.US,ENPHASE ENERGY,91.39,+16.35%,12.84,9410000.0,14 lis
AUR.US,AURORA INNOVATION,2.15,+16.85%,0.31,9350000.0,14 lis
ACB.US,AURORA CANNABIS,0.4664,-1.00%,-0.0047,9320000.0,14 lis
WHLR.US,WHEELER REAL ESTATE INVESTMENT TRUST,0.2439,+15.43%,0.0326,9250000.0,14 lis
KHC.US,KRAFT HEINZ,33.58,+1.02%,0.34,9080000.0,14 lis
ON.US,ON SEMICONDUCTOR,69.96,+4.97%,3.31,9080000.0,14 lis
BITF.US,BITFARMS LTD/CANADA,1.15,+2.68%,0.03,8960000.0,14 lis
WKHS.US,WORKHORSE GROUP,0.3995,-0.10%,-0.0004,8850000.0,14 lis
IQ.US,IQIYI,4.98,+2.05%,0.1,8820000.0,14 lis
GMDA.US,GAMIDA CELL,0.37,-37.67%,-0.2236,8790000.0,14 lis
BTAI.US,BIOXCEL THERAPEUTICS,4.22,-23.41%,-1.29,8780000.0,14 lis
PCT.US,PURECYCLE TECHNOLOGIES,3.89,+27.12%,0.83,8590000.0,14 lis
ABNB.US,AIRBNB,126.68,+6.32%,7.53,8410000.0,14 lis
SBUX.US,STARBUCKS,105.6,+2.02%,2.09,8320000.0,14 lis
XP.US,XP,22.39,+0.77%,0.17,8140000.000000001,14 lis
TSLA.US,TESLA,237.41,+6.12%,13.7,150000000.0,14 lis
BCDA.US,BIOCARDIA,1.07,+168.17%,0.671,136000000.0,14 lis
MCOM.US,MICROMOBILITY.COM,0.0222,-13.95%,-0.0036,102000000.0,14 lis
PLUG.US,PLUG POWER,4.23,+21.90%,0.76,77500000.0,14 lis
BETS.US,BIT BROTHER,0.031,+4.73%,0.0014,75700000.0,14 lis
MULN.US,MULLEN AUTOMOTIVE,0.1818,-2.68%,-0.005,74200000.0,14 lis
TENX.US,TENAX THERAPEUTICS,0.505,-18.55%,-0.115,72000000.0,14 lis
SKIN.US,BEAUTY HEALTH,1.39,-64.36%,-2.51,61600000.0,14 lis
AMD.US,ADVANCED MICRO DEVICES,119.88,+2.65%,3.09,61000000.0,14 lis
AAPL.US,APPLE,187.44,+1.43%,2.64,60100000.0,14 lis
AMZN.US,AMAZON.COM,145.8,+2.25%,3.21,56700000.0,14 lis
INTC.US,INTEL,39.41,+3.09%,1.18,45500000.0,14 lis
RIVN.US,RIVIAN AUTOMOTIVE,16.9,+4.39%,0.71,43200000.0,14 lis
NVDA.US,NVIDIA,496.56,+2.13%,10.36,41700000.0,14 lis
NKLA.US,NIKOLA,1.09,+7.92%,0.08,40400000.0,14 lis
SOFI.US,SOFI TECHNOLOGIES,7.48,+6.25%,0.44,38400000.0,14 lis
MARA.US,MARATHON DIGITAL HOLDINGS,9.17,-0.11%,-0.01,37600000.0,14 lis
TCRT.US,ALAUNOS THERAPEUTICS,0.0743,-10.59%,-0.0088,37200000.0,14 lis
AAL.US,AMERICAN AIRLINES GROUP,12.25,+3.99%,0.47,35500000.0,14 lis
GOEV.US,CANOO,0.27,+6.85%,0.0173,34100000.0,14 lis
SPCB.US,SUPERCOM,0.42,+12.60%,0.047,33500000.0,14 lis
GOOGL.US,ALPHABET,133.62,+1.16%,1.53,32400000.0,14 lis
LCID.US,LUCID GROUP,4.17,+5.04%,0.2,29600000.0,14 lis
AIRE.US,REALPHA TECH,12.0,+103.74%,6.11,28300000.0,14 lis
WBD.US,WARNER BROS DISCOVERY,10.44,+5.56%,0.55,28000000.0,14 lis
NXU.US,NXU,0.0277,-2.46%,-0.0007,27900000.0,14 lis
MSFT.US,MICROSOFT,370.27,+0.98%,3.59,27700000.0,14 lis
OPEN.US,OPENDOOR TECHNOLOGIES,2.29,+12.81%,0.26,27000000.0,14 lis
LQR.US,LQR HOUSE,0.0624,-4.00%,-0.0026,25700000.0,14 lis
RKLB.US,ROCKET LAB USA,4.32,-0.23%,-0.01,24900000.0,14 lis
RUN.US,SUNRUN,10.98,+18.96%,1.75,24600000.0,14 lis
